,0
2014-01-01,4
2014-01-02,36
2014-01-03,50
2014-01-04,24
2014-01-05,17
2014-01-06,60
2014-01-07,82
2014-01-08,139
2014-01-09,134
2014-01-10,135
2014-01-11,49
2014-01-12,32
2014-01-13,148
2014-01-14,96
2014-01-15,37
2014-01-16,35
2014-01-17,46
2014-01-18,15
2014-01-19,7
2014-01-20,41
2014-01-21,40
2014-01-22,40
2014-01-23,58
2014-01-24,31
2014-01-25,16
2014-01-26,6
2014-01-27,28
2014-01-28,43
2014-01-29,40
2014-01-30,46
2014-01-31,41
2014-02-01,5
2014-02-02,20
2014-02-03,38
2014-02-04,41
2014-02-05,44
2014-02-06,46
2014-02-07,52
2014-02-08,19
2014-02-09,26
2014-02-10,83
2014-02-11,499
2014-02-12,573
2014-02-13,349
2014-02-14,543
2014-02-15,297
2014-02-16,249
2014-02-17,551
2014-02-18,596
2014-02-19,620
2014-02-20,628
2014-02-21,567
2014-02-22,297
2014-02-23,337
2014-02-24,660
2014-02-25,688
2014-02-26,523
2014-02-27,548
2014-02-28,537
2014-03-01,294
2014-03-02,306
2014-03-03,491
2014-03-04,608
2014-03-05,640
2014-03-06,713
2014-03-07,699
2014-03-08,547
2014-03-09,500
2014-03-10,766
2014-03-11,785
2014-03-12,807
2014-03-13,835
2014-03-14,805
2014-03-15,365
2014-03-16,369
2014-03-17,660
2014-03-18,674
2014-03-19,1690
2014-03-20,1175
2014-03-21,815
2014-03-22,348
2014-03-23,358
2014-03-24,695
2014-03-25,1712
2014-03-26,1786
2014-03-27,931
2014-03-28,958
2014-03-29,666
2014-03-30,698
2014-03-31,974
2014-04-01,1096
2014-04-02,1152
2014-04-03,1128
2014-04-04,1138
2014-04-05,627
2014-04-06,740
2014-04-07,857
2014-04-08,833
2014-04-09,935
2014-04-10,951
2014-04-11,994
2014-04-12,684
2014-04-13,625
2014-04-14,744
2014-04-15,830
2014-04-16,1006
2014-04-17,1007
2014-04-18,361
2014-04-19,403
2014-04-20,366
2014-04-21,415
2014-04-22,936
2014-04-23,1180
2014-04-24,1160
2014-04-25,1233
2014-04-26,715
2014-04-27,483
2014-04-28,945
2014-04-29,878
2014-04-30,1064
2014-05-01,550
2014-05-02,693
2014-05-03,575
2014-05-04,575
2014-05-05,1033
2014-05-06,1046
2014-05-07,1000
2014-05-08,839
2014-05-09,896
2014-05-10,456
2014-05-11,392
2014-05-12,846
2014-05-13,1009
2014-05-14,1104
2014-05-15,1072
2014-05-16,1089
2014-05-17,787
2014-05-18,782
2014-05-19,1176
2014-05-20,1299
2014-05-21,1344
2014-05-22,1160
2014-05-23,855
2014-05-24,761
2014-05-25,800
2014-05-26,474
2014-05-27,896
2014-05-28,1066
2014-05-29,566
2014-05-30,790
2014-05-31,823
2014-06-01,631
2014-06-02,1172
2014-06-03,1267
2014-06-04,928
2014-06-05,1214
2014-06-06,1199
2014-06-07,867
2014-06-08,669
2014-06-09,689
2014-06-10,1120
2014-06-11,1375
2014-06-12,1352
2014-06-13,1300
2014-06-14,877
2014-06-15,793
2014-06-16,1173
2014-06-17,1268
2014-06-18,1290
2014-06-19,877
2014-06-20,897
2014-06-21,694
2014-06-22,721
2014-06-23,1197
2014-06-24,1192
2014-06-25,1228
2014-06-26,1355
2014-06-27,1144
2014-06-28,675
2014-06-29,549
2014-06-30,1146
2014-07-01,1171
2014-07-02,1366
2014-07-03,1368
2014-07-04,1348
2014-07-05,775
2014-07-06,789
2014-07-07,1125
2014-07-08,784
2014-07-09,525
2014-07-10,1017
2014-07-11,1090
2014-07-12,916
2014-07-13,550
2014-07-14,1413
2014-07-15,1411
2014-07-16,1479
2014-07-17,1448
2014-07-18,1318
2014-07-19,849
2014-07-20,605
2014-07-21,904
2014-07-22,1348
2014-07-23,1395
2014-07-24,1349
2014-07-25,1338
2014-07-26,813
2014-07-27,835
2014-07-28,983
2014-07-29,938
2014-07-30,1148
2014-07-31,1376
2014-08-01,1328
2014-08-02,988
2014-08-03,799
2014-08-04,1140
2014-08-05,1375
2014-08-06,1510
2014-08-07,1419
2014-08-08,1309
2014-08-09,923
2014-08-10,508
2014-08-11,1286
2014-08-12,1443
2014-08-13,864
2014-08-14,1139
2014-08-15,623
2014-08-16,647
2014-08-17,586
2014-08-18,921
2014-08-19,1076
2014-08-20,1210
2014-08-21,1349
2014-08-22,1179
2014-08-23,605
2014-08-24,562
2014-08-25,711
2014-08-26,469
2014-08-27,1167
2014-08-28,1260
2014-08-29,1227
2014-08-30,808
2014-08-31,569
2014-09-01,1122
2014-09-02,1247
2014-09-03,1262
2014-09-04,1234
2014-09-05,1248
2014-09-06,911
2014-09-07,743
2014-09-08,1295
2014-09-09,1452
2014-09-10,1331
2014-09-11,1192
2014-09-12,766
2014-09-13,763
2014-09-14,709
2014-09-15,1181
2014-09-16,1447
2014-09-17,1369
2014-09-18,1216
2014-09-19,1323
2014-09-20,664
2014-09-21,435
2014-09-22,1002
2014-09-23,1147
2014-09-24,1112
2014-09-25,1224
2014-09-26,1012
2014-09-27,795
2014-09-28,678
2014-09-29,1159
2014-09-30,1267
2014-10-01,1306
2014-10-02,1239
2014-10-03,807
2014-10-04,785
2014-10-05,525
2014-10-06,1053
2014-10-07,835
2014-10-08,870
2014-10-09,750
2014-10-10,1217
2014-10-11,786
2014-10-12,601
2014-10-13,1070
2014-10-14,1339
2014-10-15,1434
2014-10-16,1317
2014-10-17,1254
2014-10-18,1144
2014-10-19,1038
2014-10-20,1252
2014-10-21,944
2014-10-22,899
2014-10-23,1196
2014-10-24,1199
2014-10-25,818
2014-10-26,869
2014-10-27,1016
2014-10-28,1024
2014-10-29,1074
2014-10-30,1207
2014-10-31,1217
2014-11-01,794
2014-11-02,681
2014-11-03,870
2014-11-04,1208
2014-11-05,1291
2014-11-06,1312
2014-11-07,1207
2014-11-08,817
2014-11-09,564
2014-11-10,1065
2014-11-11,1128
2014-11-12,988
2014-11-13,1174
2014-11-14,1132
2014-11-15,611
2014-11-16,325
2014-11-17,1038
2014-11-18,739
2014-11-19,1146
2014-11-20,1145
2014-11-21,1058
2014-11-22,632
2014-11-23,498
2014-11-24,996
2014-11-25,1049
2014-11-26,961
2014-11-27,980
2014-11-28,923
2014-11-29,475
2014-11-30,427
2014-12-01,878
2014-12-02,822
2014-12-03,832
2014-12-04,876
2014-12-05,913
2014-12-06,551
2014-12-07,408
2014-12-08,826
2014-12-09,901
2014-12-10,696
2014-12-11,583
2014-12-12,832
2014-12-13,391
2014-12-14,370
2014-12-15,764
2014-12-16,808
2014-12-17,634
2014-12-18,747
2014-12-19,697
2014-12-20,389
2014-12-21,275
2014-12-22,538
2014-12-23,446
2014-12-24,152
2014-12-25,61
2014-12-26,104
2014-12-27,47
2014-12-28,40
2014-12-29,146
2014-12-30,207
2014-12-31,147
2015-01-01,148
2015-01-02,219
2015-01-03,131
2015-01-04,223
2015-01-05,609
2015-01-06,551
2015-01-07,669
2015-01-08,339
2015-01-09,613
2015-01-10,429
2015-01-11,326
2015-01-12,638
2015-01-13,923
2015-01-14,728
2015-01-15,789
2015-01-16,572
2015-01-17,452
2015-01-18,331
2015-01-19,622
2015-01-20,655
2015-01-21,752
2015-01-22,813
2015-01-23,730
2015-01-24,285
2015-01-25,340
2015-01-26,425
2015-01-27,745
2015-01-28,624
2015-01-29,580
2015-01-30,652
2015-01-31,359
2015-02-01,231
2015-02-02,666
2015-02-03,0
2015-02-04,0
2015-02-05,694
2015-02-06,607
2015-02-07,368
2015-02-08,384
2015-02-09,666
2015-02-10,769
2015-02-11,746
2015-02-12,638
2015-02-13,695
2015-02-14,425
2015-02-15,364
2015-02-16,616
2015-02-17,768
2015-02-18,779
2015-02-19,682
2015-02-20,834
2015-02-21,437
2015-02-22,377
2015-02-23,403
2015-02-24,759
2015-02-25,853
2015-02-26,794
2015-02-27,446
2015-02-28,565
2015-03-01,384
2015-03-02,767
2015-03-03,820
2015-03-04,800
2015-03-05,890
2015-03-06,859
2015-03-07,613
2015-03-08,676
2015-03-09,1109
2015-03-10,884
2015-03-11,1090
2015-03-12,1160
2015-03-13,870
2015-03-14,478
2015-03-15,373
2015-03-16,1076
2015-03-17,1279
2015-03-18,1906
2015-03-19,1275
2015-03-20,1210
2015-03-21,594
2015-03-22,533
2015-03-23,997
2015-03-24,1137
2015-03-25,1344
2015-03-26,968
2015-03-27,959
2015-03-28,680
2015-03-29,326
2015-03-30,931
2015-03-31,707
2015-04-01,774
2015-04-02,684
2015-04-03,451
2015-04-04,249
2015-04-05,322
2015-04-06,352
2015-04-07,998
2015-04-08,1277
2015-04-09,1346
2015-04-10,1394
2015-04-11,808
2015-04-12,937
2015-04-13,1296
2015-04-14,1540
2015-04-15,1761
2015-04-16,1595
2015-04-17,1274
2015-04-18,862
2015-04-19,895
2015-04-20,1532
2015-04-21,1884
2015-04-22,1843
2015-04-23,1887
2015-04-24,1605
2015-04-25,853
2015-04-26,867
2015-04-27,822
2015-04-28,1528
2015-04-29,1483
2015-04-30,1083
2015-05-01,649
2015-05-02,753
2015-05-03,361
2015-05-04,1396
2015-05-05,1706
2015-05-06,1709
2015-05-07,1687
2015-05-08,1633
2015-05-09,1035
2015-05-10,859
2015-05-11,1702
2015-05-12,1716
2015-05-13,1634
2015-05-14,938
2015-05-15,1306
2015-05-16,870
2015-05-17,955
2015-05-18,1585
2015-05-19,1586
2015-05-20,1349
2015-05-21,1884
2015-05-22,1576
2015-05-23,977
2015-05-24,807
2015-05-25,718
2015-05-26,1472
2015-05-27,1511
2015-05-28,1647
2015-05-29,1445
2015-05-30,1009
2015-05-31,855
2015-06-01,980
2015-06-02,1690
2015-06-03,1842
2015-06-04,1206
2015-06-05,1416
2015-06-06,1156
2015-06-07,1056
2015-06-08,1431
2015-06-09,1797
2015-06-10,1784
2015-06-11,1784
2015-06-12,1665
2015-06-13,1265
2015-06-14,1309
2015-06-15,1696
2015-06-16,1770
2015-06-17,1982
2015-06-18,1264
2015-06-19,1311
2015-06-20,1034
2015-06-21,783
2015-06-22,614
2015-06-23,1275
2015-06-24,1604
2015-06-25,1707
2015-06-26,1584
2015-06-27,1019
2015-06-28,1244
2015-06-29,1707
2015-06-30,1908
2015-07-01,1895
2015-07-02,1942
2015-07-03,1732
2015-07-04,1162
2015-07-05,1090
2015-07-06,1753
2015-07-07,1704
2015-07-08,1873
2015-07-09,1503
2015-07-10,1768
2015-07-11,1355
2015-07-12,1020
2015-07-13,1432
2015-07-14,1731
2015-07-15,1973
2015-07-16,2032
2015-07-17,1813
2015-07-18,1136
2015-07-19,1155
2015-07-20,1484
2015-07-21,1843
2015-07-22,1802
2015-07-23,1896
2015-07-24,1799
2015-07-25,913
2015-07-26,1026
2015-07-27,1580
2015-07-28,1924
2015-07-29,2116
2015-07-30,2114
2015-07-31,2077
2015-08-01,1342
2015-08-02,1401
2015-08-03,2069
2015-08-04,1852
2015-08-05,2176
2015-08-06,2114
